fold,return,bh,alpha,sharpe,sortino,max_dd
1,8.931249999999991,15.262910078359448,-6.331660078359457,0.5389236560183644,0.5590726136947912,9.75588591606573
2,27.741100000000007,55.11794853763288,-27.37684853763287,1.3287561225577098,1.610422972439061,10.794587851890798
3,18.70505,55.11794853763288,-36.41289853763288,0.9338818682171679,1.101515285435168,10.295760739330479
4,14.34932499999999,30.505490705843606,-16.156165705843616,1.4479870582985697,1.782132090743334,7.890388419285954
5,11.178675000000005,30.505490705843606,-19.3268157058436,1.3581522145862546,1.6460292147441833,5.756467333551141
